Model_Name,m,k,future_k,Best_Validation_Loss,Best_Validation_Acc,Best_Test_Loss,Best_Test_Acc,Patience,Early_Stop_Patience,Num_Repeats,down_sampling,Random_Init_Ratio,Switch_Epochs,learning_rate_initial,learning_rate_final
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k240_f240_20250331-050159,1,240,240,0.690425,0.532939,0.690554,0.531523,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k360_f360_20250331-051622,1,360,360,0.690889,0.531453,0.690964,0.528403,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k240_f120_20250331-053651,1,240,120,0.689371,0.539423,0.690088,0.534295,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k360_f180_20250331-054343,1,360,180,0.690097,0.535027,0.689429,0.534834,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k240_f80_20250331-055100,1,240,80,0.690685,0.532760,0.690146,0.532438,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k180_f180_20250331-060339,1,180,180,0.690637,0.534070,0.690453,0.530888,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k360_f120_20250331-060717,1,360,120,0.689551,0.534736,0.688571,0.536671,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k180_f90_20250331-061825,1,180,90,0.690063,0.536050,0.690537,0.533253,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k300_f300_20250331-062227,1,300,300,0.691375,0.526147,0.690591,0.532645,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k180_f60_20250331-062746,1,180,60,0.690546,0.531564,0.690637,0.534306,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k300_f150_20250331-063709,1,300,150,0.689840,0.538590,0.691359,0.526629,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k120_f120_20250331-064115,1,120,120,0.690738,0.534637,0.690542,0.533457,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k120_f60_20250331-064926,1,120,60,0.691695,0.525134,0.690367,0.533779,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k300_f100_20250331-064931,1,300,100,0.689251,0.540178,0.689920,0.535137,10,25,3,20,0.0001,100,0.001,0.0001
results/BTCJPY/LSTM_CNN_INDICATOR/m1_k120_f40_20250331-070003,1,120,40,0.689727,0.533691,0.690407,0.532001,10,25,3,20,0.0001,100,0.001,0.0001
