Model_Name,m,k,future_k,Best_Validation_Loss,Best_Validation_Acc,Best_Test_Loss,Best_Test_Acc,Early_Stop_Patience,down_sampling,Switch_Eochs,learning_rate_initial,learning_rate_final,SMA,BOLL,MACD,RSI
results\BTCJPY\HybridTechnicalModel\m1_k360_f120_20250428-162513,1,360,120,0.690526,0.534034,0.689024,0.540785,25,100,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-182725,1,180,60,0.693178,0.496954,0.692920,0.501222,25,100,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-182748,1,180,60,0.692941,0.496954,0.692603,0.503853,25,100,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-182812,1,180,60,0.692774,0.505261,0.692144,0.508551,25,100,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-184322,1,180,60,0.690500,0.528119,0.690062,0.531537,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-184554,1,180,60,0.689136,0.537831,0.689186,0.538415,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-184757,1,180,60,0.689412,0.535025,0.689229,0.538791,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-184934,1,180,60,0.690079,0.531627,0.689554,0.536047,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-185630,1,180,60,0.689925,0.535320,0.690417,0.530071,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-185832,1,180,60,0.689528,0.537831,0.689955,0.535634,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-190023,1,180,60,0.690139,0.530409,0.690662,0.528417,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-190238,1,180,60,0.690812,0.533141,0.691455,0.530146,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-190421,1,180,60,0.690249,0.534508,0.690624,0.530409,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-190622,1,180,60,0.690141,0.535874,0.691846,0.530822,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-190841,1,180,60,0.690279,0.532551,0.691762,0.525786,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-191028,1,180,60,0.690075,0.536206,0.691511,0.530973,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-191208,1,180,60,0.690554,0.530963,0.691791,0.525598,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-191402,1,180,60,0.690808,0.534914,0.693420,0.526913,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-191601,1,180,60,0.691019,0.531886,0.691805,0.528830,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-191744,1,180,60,0.690808,0.531701,0.691761,0.529319,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-191946,1,180,60,0.690765,0.531627,0.691207,0.528755,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-192130,1,180,60,0.691737,0.533031,0.694294,0.526161,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-192321,1,180,60,0.691269,0.531701,0.691784,0.531461,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
results\BTCJPY\HybridTechnicalModel\m1_k180_f60_20250428-192504,1,180,60,0.691976,0.529892,0.693098,0.526011,25,20,200,0.001,1e-05,"20, 60, 120","20, 2.0","12, 26, 9",14
